epoch,epsilon,step,train_loss_epoch,train_loss_step,validation_loss_epoch,validation_loss_step
0,,0,,0.704677402973175,,
0,,1,,26.856998443603516,,
0,,2,,1.7629696130752563,,
0,,3,,1.6120600700378418,,
,,0,,,,1.8272137641906738
,,1,,,,1.8272137641906738
0,,3,,,1.8272137641906738,
0,9.931988716125488,3,7.7341766357421875,,,
1,,4,,1.8272137641906738,,
1,,5,,2.267193555831909,,
1,,6,,3.1247942447662354,,
1,,7,,7.161686897277832,,
,,2,,,,6.725338935852051
,,3,,,,6.725338935852051
1,,7,,,6.725338935852051,
1,13.713665962219238,7,3.595221996307373,,,
2,,8,,6.725338935852051,,
2,,9,,17.216325759887695,,
2,,10,,40.792686462402344,,
2,,11,,49.018795013427734,,
