epoch,epsilon,step,train_loss_epoch,train_loss_step,validation_loss_epoch,validation_loss_step
,,0,,,,0.23053589463233948
,,1,,,,0.23053589463233948
0,,3,,,0.23053589463233948,
0,4.44984769821167,3,0.9363170266151428,,,
1,,4,,0.23053589463233948,,
,,2,,,,0.1657707393169403
,,3,,,,0.1657707393169403
1,,7,,,0.1657707393169403,
1,7.354874610900879,7,0.19854828715324402,,,
2,,9,,0.16086186468601227,,
,,4,,,,0.13645413517951965
,,5,,,,0.13645413517951965
2,,11,,,0.13645413517951965,
2,9.955018997192383,11,0.15434354543685913,,,
3,,14,,0.12830698490142822,,
,,6,,,,0.12079847604036331
,,7,,,,0.12079847604036331
3,,15,,,0.12079847604036331,
3,12.389664649963379,15,0.1304810494184494,,,
4,,19,,0.1026349887251854,,
,,8,,,,0.10201326757669449
,,9,,,,0.10201326757669449
4,,19,,,0.10201326757669449,
4,14.71801471710205,19,0.1106468066573143,,,
,,10,,,,0.08187895268201828
,,11,,,,0.08187895268201828
5,,23,,,0.08187895268201828,
5,16.97054672241211,23,0.09453652054071426,,,
6,,24,,0.08187895268201828,,
,,12,,,,0.05728239566087723
,,13,,,,0.05728239566087723
6,,27,,,0.05728239566087723,
6,19.165508270263672,27,0.07197404652833939,,,
7,,29,,0.05646885931491852,,
,,14,,,,0.040399160236120224
,,15,,,,0.040399160236120224
7,,31,,,0.040399160236120224,
7,21.31478500366211,31,0.05262955278158188,,,
8,,34,,0.03674517944455147,,
,,16,,,,0.0314437635242939
,,17,,,,0.0314437635242939
8,,35,,,0.0314437635242939,
8,23.426729202270508,35,0.0374750941991806,,,
9,,39,,0.02763305976986885,,
,,18,,,,0.028460806235671043
,,19,,,,0.028460806235671043
9,,39,,,0.028460806235671043,
9,25.50736427307129,39,0.030055474489927292,,,
,,20,,,,0.027684085071086884
,,21,,,,0.027684085071086884
10,,43,,,0.027684085071086884,
10,27.561208724975586,43,0.02801506221294403,,,
11,,44,,0.027684085071086884,,
,,22,,,,0.028930138796567917
,,23,,,,0.028930138796567917
11,,47,,,0.028930138796567917,
11,29.591896057128906,47,0.02745995670557022,,,
12,,49,,0.029020126909017563,,
,,24,,,,0.028056200593709946
,,25,,,,0.028056200593709946
12,,51,,,0.028056200593709946,
12,31.602195739746094,51,0.028551504015922546,,,
13,,54,,0.028956839814782143,,
,,26,,,,0.02884998358786106
,,27,,,,0.02884998358786106
13,,55,,,0.02884998358786106,
13,33.594444274902344,55,0.02863505110144615,,,
14,,59,,0.03103753551840782,,
,,28,,,,0.029560498893260956
,,29,,,,0.029560498893260956
14,,59,,,0.029560498893260956,
14,35.570552825927734,59,0.029536869376897812,,,
,,30,,,,0.0339834988117218
,,31,,,,0.0339834988117218
15,,63,,,0.0339834988117218,
15,37.53205490112305,63,0.03117191791534424,,,
16,,64,,0.0339834988117218,,
,,32,,,,0.03420184925198555
,,33,,,,0.03420184925198555
16,,67,,,0.03420184925198555,
16,39.4803466796875,67,0.03474432975053787,,,
17,,69,,0.03326965868473053,,
,,34,,,,0.03138722479343414
,,35,,,,0.03138722479343414
17,,71,,,0.03138722479343414,
17,41.41654968261719,71,0.03270505741238594,,,
18,,74,,0.03210107237100601,,
,,36,,,,0.03413095697760582
,,37,,,,0.03413095697760582
18,,75,,,0.03413095697760582,
18,43.341644287109375,75,0.032349102199077606,,,
19,,79,,0.031718455255031586,,
,,38,,,,0.03191996365785599
,,39,,,,0.03191996365785599
19,,79,,,0.03191996365785599,
19,45.25653076171875,79,0.03281795233488083,,,
